Date,Adj Close,Volume,Return,,,,,,,,,,,,,,,,,,,,,
2018-04-27,1572.619995,13053200,0.036008877,,,,,,,,,,,,,,,,,,,,,
2018-04-30,1566.130005,5464100,-0.004126865,,,,,,,,,,,,,,,,,,,,,
2018-05-01,1582.26001,4572100,0.010299276,,,,,,,,,,,,,,,,,,,,,
2018-05-02,1569.680054,4360300,-0.007950625,,,,,,,,,,,,,,,,,,,,,
2018-05-03,1572.079956,4251900,0.001528912,,,,,,,,,,,,,,,,,,,,,
2018-05-04,1580.949951,3443600,0.005642203,,,,,,,,,,,,,,,,,,,,,
2018-05-07,1600.140015,3801900,0.012138312,,,,,,,,,,,,,,,,,,,,,
2018-05-08,1592.390015,3067900,-0.004843326,,,,,,,,,,,,,,,,,,,,,
2018-05-09,1608,3637300,0.009802865,,,,,,,,,,,,,,,,,,,,,
2018-05-10,1609.079956,2817500,0.000671614,,,,,,,,,,,,,,,,,,,,,
2018-05-11,1602.910034,2263900,-0.003834441,,,,,,,,,,,,,,,,,,,,,
2018-05-14,1601.540039,2509500,-0.000854692,,,,,,,,,,,,,,,,,,,,,
2018-05-15,1576.119995,5077500,-0.01587225,,,,,,,,,,,,,,,,,,,,,
2018-05-16,1587.280029,2570600,0.007080701,,,,,,,,,,,,,,,,,,,,,
2018-05-17,1581.76001,2147600,-0.003477659,,,,,,,,,,,,,,,,,,,,,
2018-05-18,1574.369995,2642600,-0.00467202,,,,,,,,,,,,,,,,,,,,,
2018-05-21,1585.459961,2925200,0.007044066,,,,,,,,,,,,,,,,,,,,,
2018-05-22,1581.400024,2115600,-0.002560731,,,,,,,,,,,,,,,,,,,,,
2018-05-23,1601.859985,3361900,0.012937878,,,,,,,,,,,,,,,,,,,,,
2018-05-24,1603.069946,3430000,0.000755348,,,,,,,,,,,,,,,,,,,,,
2018-05-25,1610.150024,2698400,0.004416575,,,,,,,,,,,,,,,,,,,,,
2018-05-29,1612.869995,3846500,0.001689266,,,,,,,,,,,,,,,,,,,,,
2018-05-30,1624.890015,2907400,0.007452566,,,,,,,,,,,,,,,,,,,,,
2018-05-31,1629.619995,3166300,0.002910954,,,,,,,,,,,,,,,,,,,,,
2018-06-01,1641.540039,3313400,0.007314616,,,,,,,,,,,,,,,,,,,,,
2018-06-04,1665.27002,3187700,0.014455926,,,,,,,,,,,,,,,,,,,,,
2018-06-05,1696.349976,4782200,0.018663613,,,,,,,,,,,,,,,,,,,,,
2018-06-06,1695.75,5473200,-0.000353686,,,,,,,,,,,,,,,,,,,,,
2018-06-07,1689.300049,3765700,-0.003803598,,,,,,,,,,,,,,,,,,,,,
2018-06-08,1683.98999,2955100,-0.003143349,,,,,,,,,,,,,,,,,,,,,
2018-06-11,1689.119995,2335500,0.003046339,,,,,,,,,,,,,,,,,,,,,
2018-06-12,1698.75,2259200,0.005701196,,,,,,,,,,,,,,,,,,,,,
2018-06-13,1704.859985,3327500,0.003596753,,,,,,,,,,,,,,,,,,,,,
2018-06-14,1723.859985,3174400,0.01114461,,,,,,,,,,,,,,,,,,,,,
2018-06-15,1715.969971,4777600,-0.004576946,,,,,,,,,,,,,,,,,,,,,
2018-06-18,1723.790039,3107700,0.004557229,,,,,,,,,,,,,,,,,,,,,
2018-06-19,1734.780029,4290100,0.006375481,,,,,,,,,,,,,,,,,,,,,
2018-06-20,1750.079956,4332600,0.00881952,,,,,,,,,,,,,,,,,,,,,
2018-06-21,1730.219971,4941100,-0.011348044,,,,,,,,,,,,,,,,,,,,,
2018-06-22,1715.670044,4075100,-0.008409293,,,,,,,,,,,,,,,,,,,,,
2018-06-25,1663.150024,7511200,-0.030611958,,,,,,,,,,,,,,,,,,,,,
2018-06-26,1691.089966,4386600,0.016799412,,,,,,,,,,,,,,,,,,,,,
2018-06-27,1660.51001,4872200,-0.018082986,,,,,,,,,,,,,,,,,,,,,
2018-06-28,1701.449951,4529700,0.02465504,,,,,,,,,,,,,,,,,,,,,
2018-06-29,1699.800049,4543500,-0.000969704,,,,,,,,,,,,,,,,,,,,,
2018-07-02,1713.780029,3185700,0.008224485,,,,,,,,,,,,,,,,,,,,,
2018-07-03,1693.959961,2177300,-0.011565118,,,,,,,,,,,,,,,,,,,,,
2018-07-05,1699.72998,2983100,0.003406231,,,,,,,,,,,,,,,,,,,,,
2018-07-06,1710.630005,2650300,0.006412798,,,,,,,,,,,,,,,,,,,,,
2018-07-09,1739.02002,3012000,0.016596234,,,,,,,,,,,,,,,,,,,,,
2018-07-10,1743.069946,3002900,0.002328855,,,,,,,,,,,,,,,,,,,,,
2018-07-11,1755,3209800,0.006844277,,,,,,,,,,,,,,,,,,,,,
2018-07-12,1796.619995,4532700,0.023715097,,,,,,,,,,,,,,,,,,,,,
2018-07-13,1813.030029,4383200,0.009133837,,,,,,,,,,,,,,,,,,,,,
2018-07-16,1822.48999,5466200,0.005217763,,,,,,,,,,,,,,,,,,,,,
2018-07-17,1843.930054,5682900,0.01176416,,,,,,,,,,,,,,,,,,,,,
2018-07-18,1842.920044,4861900,-0.000547749,,,,,,,,,,,,,,,,,,,,,
2018-07-19,1812.969971,4676900,-0.016251423,,,,,,,,,,,,,,,,,,,,,
2018-07-20,1813.699951,3884400,0.000402643,,,,,,,,,,,,,,,,,,,,,
2018-07-23,1802,3888500,-0.006450875,,,,,,,,,,,,,,,,,,,,,
2018-07-24,1829.23999,4278700,0.015116532,,,,,,,,,,,,,,,,,,,,,
2018-07-25,1863.609985,3738200,0.018789221,,,,,,,,,,,,,,,,,,,,,
2018-07-26,1808,9924400,-0.029839927,,,,,,,,,,,,,,,,,,,,,
2018-07-27,1817.27002,9681000,0.005127223,,,,,,,,,,,,,,,,,,,,,
2018-07-30,1779.219971,6562300,-0.020938027,,,,,,,,,,,,,,,,,,,,,
2018-07-31,1777.439941,5738700,-0.001000455,,,,,,,,,,,,,,,,,,,,,
2018-08-01,1797.170044,4153100,0.011100292,,,,,,,,,,,,,,,,,,,,,
2018-08-02,1834.329956,4354700,0.020676904,,,,,,,,,,,,,,,,,,,,,
2018-08-03,1823.290039,3460500,-0.006018501,,,,,,,,,,,,,,,,,,,,,
2018-08-06,1847.75,3391800,0.013415288,,,,,,,,,,,,,,,,,,,,,
