Week,Date,Close Price,Volume,,,,,,
3,08/16/2017,553.77332,10.413B,,,,,,
2,08/15/2017,555.02332,10.644B,,,,,,
1,08/14/2017,554.28284,11.531B,,,,,,
5,2017/11/8,547.62549,15.039B,,,,,,
4,2017/10/8,558.49115,13.009B,,,,,,
3,2017/9/8,558.45593,12.468B,,,,,,
2,2017/8/8,556.70605,13.724B,,,,,,
1,2017/7/8,554.74768,12.423B,,,,,,
5,2017/4/8,551.75604,15.747B,,,,,,
4,2017/3/8,554.7525,14.615B,,,,,,
3,2017/2/8,559.89233,17.229B,,,,,,
2,2017/1/8,561.05219,15.255B,,,,,,
1,07/31/2017,555.86713,14.843B,,,,,,
5,07/28/2017,553.14496,11.141B,,,,,,
4,07/27/2017,551.35974,14.5B,,,,,,
3,07/26/2017,549.04401,13.633B,,,,,,
2,07/25/2017,551.06213,12.167B,,,,,,
1,07/24/2017,554.61267,13.487B,,,,,,
5,07/21/2017,552.737,11.794B,,,,,,
4,07/20/2017,555.802,14.241B,,,,,,
3,07/19/2017,552.80078,18.248B,,,,,,
2,07/18/2017,543.76135,12.462B,,,,,,
1,07/17/2017,541.14594,17.882B,,,,,,
5,07/14/2017,547.58435,10.551B,,,,,,
4,07/13/2017,543.63312,12.567B,,,,,,
3,2017/12/7,539.7688,12.229B,,,,,,
2,2017/11/7,540.46863,11.876B,,,,,,
1,2017/10/7,537.73395,12.059B,,,,,,
5,2017/7/7,538.12726,10.374B,,,,,,
4,2017/6/7,538.92322,10.238B,,,,,,
3,2017/5/7,539.05219,8.823B,,,,,,
2,2017/4/7,532.28796,9.507B,,,,,,
1,2017/3/7,537.99677,8.882B,,,,,,
5,06/30/2017,542.01678,8.151B,,,,,,
4,06/29/2017,539.97028,8.559B,,,,,,
3,06/28/2017,535.96454,9.792B,,,,,,
2,06/27/2017,539.8515,9.756B,,,,,,
1,06/26/2017,537.36273,13.464B,,,,,,
5,06/23/2017,531.3158,10.513B,,,,,,
4,06/22/2017,526.46637,13.553B,,,,,,
3,06/21/2017,526.4173,8.786B,,,,,,
2,06/20/2017,520.85388,8.051B,,,,,,
1,06/19/2017,522.0144,7.98B,,,,,,
5,06/16/2017,517.4953,7.645B,,,,,,
4,06/15/2017,518.66553,8.263B,,,,,,
3,06/14/2017,521.36896,8.381B,,,,,,
2,06/13/2017,527.23047,7.518B,,,,,,
1,2017/12/6,525.86206,9.038B,,,,,,
5,2017/9/6,526.53461,10.119B,,,,,,
4,2017/8/6,524.3056,9.022B,,,,,,
3,2017/7/6,521.07404,10.442B,,,,,,
2,2017/6/6,514.87811,6.409B,,,,,,
1,2017/5/6,510.63651,7.974B,,,,,,
5,2017/2/6,511.96878,8.267B,,,,,,
4,2017/1/6,514.15399,10.313B,,,,,,
3,05/31/2017,512.31091,10.483B,,,,,,
5,05/26/2017,507.48514,10.324B,,,,,,
4,05/25/2017,508.69925,13.072B,,,,,,
3,05/24/2017,498.22733,8.355B,,,,,,
2,05/23/2017,498.64484,11.691B,,,,,,
1,05/22/2017,497.06949,9.254B,,,,,,
5,05/19/2017,495.83377,7.147B,,,,,,
4,05/18/2017,494.4939,8.576B,,,,,,
3,05/17/2017,496.31262,9.974B,,,,,,
2,05/16/2017,498.95209,10.524B,,,,,,
1,05/15/2017,493.8822,8.298B,,,,,,
5,2017/12/5,491.18274,9.339B,,,,,,
4,2017/11/5,486.64673,10.925B,,,,,,
3,2017/10/5,483.54953,9.208B,,,,,,
2,2017/9/5,485.52243,7.677B,,,,,,
1,2017/8/5,486.7562,12.375B,,,,,,
5,2017/5/5,490.62286,10.99B,,,,,,
4,2017/4/5,493.99789,10.348B,,,,,,
3,2017/3/5,495.46048,9.167B,,,,,,
2,2017/2/5,497.51379,9.28B,,,,,,
5,04/28/2017,498.99222,10.163B,,,,,,
4,04/27/2017,500.08273,12.33B,,,,,,
3,04/26/2017,499.52634,11.194B,,,,,,
2,04/25/2017,500.11255,9.407B,,,,,,
1,04/24/2017,498.96155,11.466B,,,,,,
5,04/21/2017,502.97955,10.442B,,,,,,
4,04/20/2017,503.38077,11.418B,,,,,,
3,04/19/2017,500.8541,12.135B,,,,,,
2,04/18/2017,503.69366,11.093B,,,,,,
1,04/17/2017,506.21753,11.717B,,,,,,
5,04/14/2017,506.81094,13.547B,,,,,,
4,04/13/2017,510.68967,12.998B,,,,,,
3,2017/12/4,508.98312,18.182B,,,,,,
2,2017/11/4,510.08295,16.595B,,,,,,
1,2017/10/4,507.54248,14.189B,,,,,,
5,2017/7/4,509.64435,14.029B,,,,,,
4,2017/6/4,509.6145,13.677B,,,,,,
3,2017/5/4,508.30417,14.34B,,,,,,
5,03/31/2017,502.50748,9.158B,,,,,,
4,03/30/2017,498.44205,11.638B,,,,,,
3,03/29/2017,502.90891,10.485B,,,,,,
2,03/28/2017,503.95184,8.419B,,,,,,
1,03/27/2017,506.5744,10.702B,,,,,,
5,03/24/2017,507.01028,12.565B,,,,,,
4,03/23/2017,502.73416,9.432B,,,,,,
3,03/22/2017,501.63577,10.494B,,,,,,
2,03/21/2017,502.8428,8.771B,,,,,,
