,Actual,Predicted
2209,0.0081819,0.003616341
2210,0.0015386,0.000404976
2211,0.0226806,0.003385036
2212,0.0022337,0.00010751
2213,0.0054989,0.003501297
2214,-0.0138349,0.000218822
2215,0.0202279,0.001704657
2216,0.0026765,0.001542125
2217,-0.0054445,0.001238681
2218,0.0125274,0.002770431
2219,0.0039027,0.00258288
2220,-0.0070263,0.003008882
2221,0.0001018,0.001036112
2222,0.0041758,0.001928715
2223,0.0165263,0.000788042
2224,0.0002819,0.000124537
2225,-0.001642,-0.000824557
2226,0.0040379,-0.000254163
2227,0.010839,-1.86E-05
2228,-0.0004198,0.00081428
2229,0.0021292,0.000224134
2230,-0.0015681,0.000153768
2231,0.0070678,0.000839491
2232,0.0009768,0.000770735
2233,0.0115813,0.000227748
2234,-0.0022998,0.000526031
2235,-0.0186835,0.000298588
2236,0.0159913,0.001223819
2237,-0.0041937,0.000427191
2238,0.0101289,0.002336458
2239,0.0040636,0.002259632
2240,0.00651,0.002151171
2241,0.0049625,0.0016581
2242,-0.0064656,0.000659457
2243,-0.0005082,0.000491547
2244,-0.004321,4.53E-05
2245,0.0062511,0.000108316
2246,0.0051166,0.001203028
2247,6.94E-05,-0.000782091
2248,0.0026242,0.000259661
2249,-0.0088902,0.000977984
2250,-0.0191466,0.000261496
2251,0.0097377,0.001201359
2252,0.0146498,0.001300727
2253,-0.0039217,-0.002246959
2254,0.0015253,9.09E-05
2255,0.0055758,0.00345719
2256,0.0136753,0.000262407
2257,0.0019473,0.000628421
2258,-0.0049314,-0.000398873
2259,-0.0085062,0.00049131
2260,0.0014378,0.000922239
2261,-0.0202659,-0.000384961
2262,0.0015272,-0.002790447
2263,0.0056478,0.001181719
2264,0.0016347,-0.000877596
2265,0.0095967,0.002945739
2266,0.0175778,0.000857818
2267,0.0021193,-0.000470531
2268,0.0122101,0.000950538
2269,-0.0016698,-0.001478388
2270,0.0047043,-0.000112706
2271,0.0026711,0.000784484
2272,-0.0012577,0.00063066
2273,-0.0093,0.000754445
2274,0.0023563,0.001178282
2275,-0.0033113,0.000141269
2276,0.0107058,-0.00037005
2277,-0.0001722,0.001098478
2278,-0.0053584,-0.000727047
2279,-6.52E-07,0.000645925
2280,-0.0052534,0.001481883
2281,-0.0085899,-0.000231095
2282,0.0018683,0.000174057
2283,0.0097214,0.00082421
2284,-0.0064799,-1.50E-06
2285,0.0082518,-0.001207649
2286,0.0045876,0.000719312
2287,-0.0289789,0.000553958
2288,0.0052448,-0.000305577
2289,-0.0122542,0.001059746
2290,-0.0238639,-0.001646243
2291,0.0084479,0.006291165
2292,-0.0149988,-0.000669636
2293,0.0052162,-0.001268563
2294,0.000225,0.001363745
