Date,Date2,DateID,Month,Year,Close,SMA,CCI,ROC,RSI
2005/1/31,2005.1,170 ,1.00 ,2005.00 ,13721.69 ,13506.14 ,52.25 ,3.25 ,64.01 
2005/2/28,2005.2,171 ,2.00 ,2005.00 ,14195.35 ,13730.32 ,64.41 ,2.07 ,70.45 
2005/3/31,2005.3,172 ,3.00 ,2005.00 ,13516.88 ,13796.46 ,-18.04 ,6.59 ,53.88 
2005/4/29,2005.4,173 ,4.00 ,2005.00 ,13908.97 ,13938.85 ,-44.49 ,16.46 ,60.35 
2005/5/31,2005.5,174 ,5.00 ,2005.00 ,13867.07 ,13906.68 ,-3.32 ,13.68 ,59.28 
2005/6/30,2005.6,175 ,6.00 ,2005.00 ,14201.06 ,13901.84 ,133.63 ,15.59 ,65.17 
2005/7/29,2005.7,176 ,7.00 ,2005.00 ,14880.98 ,14095.05 ,164.94 ,21.60 ,74.26 
2005/8/31,2005.8,177 ,8.00 ,2005.00 ,14903.55 ,14213.09 ,137.05 ,15.98 ,74.52 
2005/9/30,2005.9,178 ,9.00 ,2005.00 ,15428.52 ,14531.69 ,105.85 ,17.60 ,80.21 
2005/10/31,2005.10,179 ,10.00 ,2005.00 ,14386.37 ,14611.26 ,16.13 ,10.20 ,52.37 
2005/11/30,2005.11,180 ,11.00 ,2005.00 ,14937.14 ,14789.60 ,10.97 ,6.24 ,60.96 
2005/12/30,2005.12,181 ,12.00 ,2005.00 ,14876.43 ,14902.17 ,29.12 ,4.54 ,59.54 
2006/1/27,2006.1,182 ,1.00 ,2006.00 ,15753.14 ,15008.73 ,115.45 ,13.11 ,68.80 
2006/2/28,2006.2,183 ,2.00 ,2006.00 ,15918.48 ,15216.68 ,112.49 ,12.14 ,72.94 
2006/3/31,2006.3,184 ,3.00 ,2006.00 ,15805.04 ,15279.43 ,79.12 ,16.93 ,69.45 
2006/4/28,2006.4,185 ,4.00 ,2006.00 ,16661.30 ,15658.59 ,145.74 ,19.79 ,78.69 
2006/5/30,2006.5,186 ,5.00 ,2006.00 ,15857.89 ,15812.05 ,80.49 ,14.36 ,58.69 
2006/6/30,2006.6,187 ,6.00 ,2006.00 ,16267.62 ,16043.91 ,-3.77 ,14.55 ,64.25 
2006/7/31,2006.7,188 ,7.00 ,2006.00 ,16971.34 ,16246.95 ,102.91 ,14.05 ,72.02 
2006/8/31,2006.8,189 ,8.00 ,2006.00 ,17392.27 ,16492.58 ,134.40 ,16.70 ,75.79 
2006/9/29,2006.9,190 ,9.00 ,2006.00 ,17543.05 ,16782.25 ,110.27 ,13.71 ,77.12 
2006/10/31,2006.10,191 ,10.00 ,2006.00 ,18324.35 ,17059.42 ,119.83 ,27.37 ,82.93 
2006/11/30,2006.11,192 ,11.00 ,2006.00 ,18960.48 ,17576.52 ,136.34 ,26.94 ,86.33 
2006/12/29,2006.12,193 ,12.00 ,2006.00 ,19964.72 ,18192.70 ,119.80 ,34.20 ,90.07 
2007/1/31,2007.1,194 ,1.00 ,2007.00 ,20106.42 ,18715.22 ,108.22 ,27.63 ,90.51 
2007/2/28,2007.2,195 ,2.00 ,2007.00 ,19651.51 ,19091.76 ,72.79 ,23.45 ,77.32 
2007/3/30,2007.3,196 ,3.00 ,2007.00 ,19800.93 ,19468.07 ,11.97 ,25.28 ,78.55 
2007/4/30,2007.4,197 ,4.00 ,2007.00 ,20318.98 ,19800.51 ,91.86 ,21.95 ,82.50 
2007/5/31,2007.5,198 ,5.00 ,2007.00 ,20634.47 ,20079.51 ,119.51 ,30.12 ,84.58 
2007/6/29,2007.6,199 ,6.00 ,2007.00 ,21772.73 ,20380.84 ,155.47 ,33.84 ,89.82 
2007/7/31,2007.7,200 ,7.00 ,2007.00 ,23184.94 ,20893.93 ,152.93 ,36.61 ,93.24 
2007/8/31,2007.8,201 ,8.00 ,2007.00 ,23984.14 ,21616.03 ,79.93 ,37.90 ,94.49 
2007/9/28,2007.9,202 ,9.00 ,2007.00 ,27142.47 ,22839.62 ,164.10 ,54.72 ,97.07 
2007/10/31,2007.10,203 ,10.00 ,2007.00 ,31352.58 ,24678.56 ,149.18 ,71.10 ,98.33 
2007/11/30,2007.11,204 ,11.00 ,2007.00 ,28643.61 ,26013.41 ,78.45 ,51.07 ,73.89 
2007/12/31,2007.12,205 ,12.00 ,2007.00 ,27812.65 ,26946.39 ,38.67 ,37.09 ,64.81 
2008/1/31,2008.1,206 ,1.00 ,2008.00 ,23455.74 ,27065.20 ,-64.75 ,16.66 ,44.33 
2008/2/29,2008.2,207 ,2.00 ,2008.00 ,24331.67 ,27123.12 ,-91.63 ,23.82 ,48.61 
2008/3/31,2008.3,208 ,3.00 ,2008.00 ,22849.20 ,26407.57 ,-95.39 ,15.39 ,42.04 
2008/4/30,2008.4,209 ,4.00 ,2008.00 ,25755.35 ,25474.70 ,-18.69 ,26.76 ,56.02 
2008/5/30,2008.5,210 ,5.00 ,2008.00 ,24533.12 ,24789.62 ,13.76 ,18.89 ,49.94 
2008/6/30,2008.6,211 ,6.00 ,2008.00 ,22102.01 ,23837.85 ,-78.76 ,1.51 ,39.67 
2008/7/31,2008.7,212 ,7.00 ,2008.00 ,22731.10 ,23717.07 ,-81.86 ,-1.96 ,43.29 
