Year,Date,Close Price,IV20,IV60,PoR,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
2018,2018/8/22,2861.82,7.91,8.94,-0.0004,-0.0025,-0.0021,-0.0026,0.0005,0.0275,0
2018,2018/8/23,2856.98,7.34,8.57,-0.0017,-0.0013,0.0012,0.0033,0.0059,0.0054,0
2018,2018/8/24,2874.69,7.52,8.3,0.0062,0.0079,0.0092,0.008,0.0047,-0.0012,1
2018,2018/8/27,2896.74,7.41,8.25,0.0077,0.0015,-0.0064,-0.0156,-0.0236,-0.0283,1
2018,2018/8/28,2897.52,6.97,8.01,0.0003,-0.0074,-0.0089,-0.0025,0.0131,0.0368,1
2018,2018/8/29,2914.04,7.03,8.03,0.0057,0.0054,0.0128,0.0217,0.0242,0.011,1
2018,2018/8/30,2901.13,7.28,8.11,-0.0044,-0.0101,-0.0156,-0.0284,-0.0501,-0.0743,0
2018,2018/8/31,2901.52,7.18,7.96,0.0001,0.0046,0.0147,0.0303,0.0587,0.1088,1
2018,2018/9/4,2896.72,7.26,8.02,-0.0017,-0.0018,-0.0064,-0.021,-0.0513,-0.11,0
2018,2018/9/5,2888.6,7.33,8.05,-0.0028,-0.0011,0.0006,0.007,0.028,0.0794,0
2018,2018/9/6,2878.05,7.47,8.1,-0.0037,-0.0008,0.0003,-0.0003,-0.0073,-0.0354,0
2018,2018/9/7,2871.68,7.5,8.06,-0.0022,0.0014,0.0023,0.002,0.0023,0.0097,0
2018,2018/9/10,2877.13,6.98,8.06,0.0019,0.0041,0.0027,0.0004,-0.0016,-0.0039,1
2018,2018/9/11,2887.89,6.82,8.08,0.0037,0.0018,-0.0023,-0.0049,-0.0053,-0.0037,1
2018,2018/9/12,2888.92,6.54,8.02,0.0004,-0.0034,-0.0052,-0.003,0.002,0.0073,1
2018,2018/9/13,2904.18,5.9,8.07,0.0053,0.0049,0.0083,0.0135,0.0165,0.0145,1
2018,2018/9/14,2904.98,5.41,7.93,0.0003,-0.005,-0.0099,-0.0182,-0.0318,-0.0483,1
2018,2018/9/17,2888.8,5.83,8.04,-0.0056,-0.0058,-0.0008,0.0091,0.0273,0.0591,0
2018,2018/9/18,2904.31,6.04,7.48,0.0054,0.0109,0.0168,0.0176,0.0085,-0.0188,1
2018,2018/9/19,2907.95,6.02,7.48,0.0013,-0.0041,-0.0151,-0.0318,-0.0495,-0.058,1
2018,2018/9/20,2930.75,6.49,7.32,0.0078,0.0066,0.0107,0.0258,0.0576,0.1071,1
2018,2018/9/21,2929.67,6.43,7.26,-0.0004,-0.0082,-0.0148,-0.0255,-0.0513,-0.1089,0
2018,2018/9/25,2915.56,6.22,7.28,-0.0048,-0.0044,0.0038,0.0186,0.0441,0.0953,0
2018,2018/9/26,2905.97,5.84,7.33,-0.0033,0.0015,0.006,0.0022,-0.0163,-0.0604,0
2018,2018/9/27,2914,5.9,7.22,0.0028,0.0061,0.0045,-0.0014,-0.0037,0.0127,1
2018,2018/9/28,2913.98,5.58,7.17,0,-0.0028,-0.0088,-0.0133,-0.0119,-0.0082,0
2018,2018/10/8,2884.43,5.31,7.01,-0.0101,-0.0101,-0.0074,0.0015,0.0148,0.0267,0
2018,2018/10/9,2880.34,5.35,6.86,-0.0014,0.0087,0.0189,0.0262,0.0248,0.01,0
2018,2018/10/10,2785.68,12.75,9.65,-0.0329,-0.0314,-0.0402,-0.059,-0.0852,-0.11,0
